NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
28,1.7814626708449273,1,0.03571428571428571,27,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 8 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
29,1.7504464319904833,1,0.034482758620689655,28,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
30,1.8574582333919927,1,0.03333333333333333,29,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
31,1.9135156482902544,1,0.03225806451612903,30,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
32,1.8917524723153718,1,0.03125,31,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 10 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
33,1.8679316243063429,1,0.030303030303030304,32,............ 17 9 2 17 1 1 15 1 13 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
34,1.8512747504118043,0,0.0,34,............ 17 9 2 17 1 1 15 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
35,1.8156641662920412,0,0.0,35,............ 17 9 2 17 1 1 15 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
36,1.9358445189712927,0,0.0,36,............ 17 9 2 17 1 1 15 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
37,1.9026915650172593,0,0.0,37,............ 17 9 2 17 1 1 15 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
38,1.8269742317387236,1,0.02631578947368421,37,............ 17 9 2 17 1 1 37 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 22 17 9 9 1
39,1.8353383438268231,1,0.02564102564102564,38,............ 17 9 2 17 1 1 37 1 33 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
40,1.8567817250579925,3,0.075,37,............ 17 9 2 17 1 1 37 1 39 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
41,1.8684049350159277,3,0.07317073170731707,38,............ 17 9 2 17 1 1 37 1 39 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
42,1.9733985919950374,4,0.09523809523809523,38,............ 17 9 2 17 1 1 37 1 39 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 19 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
43,1.991071492956393,5,0.11627906976744186,38,............ 17 9 2 17 1 1 37 1 39 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 42 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
44,1.970125423672031,5,0.11363636363636363,39,............ 17 9 2 17 1 1 37 1 39 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 42 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
45,1.969554735244751,6,0.13333333333333333,39,............ 17 9 2 17 1 1 37 1 44 4 4 1 1 17 1 2 1 1 2 32 0 9 1 9 9 0 1 1 12 4 2 1 0 12 9 4 1 3 9 27 0 1 16 1 0 42 3 2 9 22 9 1 0 9 1 0 6 1 1 6 1 3 1 9 4 0 9 1 9 1 1 28 1 9 1 1 9 1 3 1 9 0 2 9 6 4 0 3 1 1 1 17 2 0 9 38 17 9 9 1
