NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
24,1.313566981396032,0,0.0,24,............ 2 0 14 6 16 19 12 10 15 18 11 5 15 16 10 2 7 5 6 2 22 10 4 13 4 4 15 15 10 2 3 4 3 9 15 14 8 18 9 22 6 4 11 5 6 2 15 2 18 17 5 19 9 15 4 14 9 5 2 14 4 2 20 2 2 22 15 14 6 14 0 20 14 14 9 18 14 8 22 9 9 18 10 2 18 22 3 2 21 0 0 15 1 13 4 5 7 6 14 20
25,1.329338093897657,0,0.0,25,............ 2 0 14 6 16 19 24 10 15 22 11 5 15 16 10 2 7 5 6 2 7 10 4 13 4 4 15 15 10 2 3 4 3 9 15 14 8 18 9 22 6 4 11 5 6 2 15 2 18 17 5 19 9 15 4 14 9 5 2 14 4 2 20 2 2 22 15 14 6 14 0 20 14 14 9 22 18 8 22 9 9 18 10 2 22 7 3 2 21 0 0 15 1 13 4 5 12 6 14 20
26,1.2890101434754824,0,0.0,26,............ 2 0 14 6 16 19 24 10 15 22 11 25 15 16 10 2 7 5 6 2 7 10 4 13 4 4 15 15 10 2 3 4 3 9 15 14 8 18 9 22 6 4 11 25 6 2 15 2 18 17 25 19 9 15 4 14 9 25 2 14 4 2 20 2 2 22 15 14 6 14 0 20 14 14 9 22 18 8 22 9 9 18 10 2 22 7 3 2 21 0 0 15 1 13 4 5 12 6 14 20
27,1.274503270058718,0,0.0,27,............ 2 0 14 6 16 19 21 10 15 7 11 25 15 16 10 2 12 5 6 2 12 10 4 13 4 4 15 15 10 2 3 4 3 9 15 18 8 22 9 7 6 4 11 25 6 2 15 2 22 26 25 19 9 15 4 18 9 25 2 18 4 2 20 2 2 7 15 18 6 18 0 20 18 18 9 7 18 8 7 9 9 22 10 2 7 12 3 2 17 0 0 15 1 13 4 5 24 6 18 20
28,1.2708382352001626,0,0.0,28,............ 2 0 18 6 16 19 17 10 15 7 11 25 15 16 10 2 24 5 6 2 24 10 4 13 4 4 15 15 10 2 3 4 3 9 15 18 8 22 9 7 6 4 11 25 6 2 15 2 22 27 25 19 9 15 4 18 9 25 2 18 4 2 20 2 2 12 15 18 6 18 0 20 18 22 9 7 22 8 12 9 9 7 10 2 7 24 3 2 26 0 0 15 1 13 4 5 21 6 18 20
29,1.2795876738948029,0,0.0,29,............ 2 0 18 6 16 19 17 10 15 7 11 25 15 16 10 2 24 5 6 2 12 10 4 13 4 4 15 15 10 2 3 4 3 9 15 18 8 22 9 7 6 4 11 25 6 2 15 2 28 27 25 19 9 15 4 18 9 25 2 22 4 2 20 2 2 7 15 18 6 18 0 20 18 22 9 7 22 8 7 9 9 28 10 2 7 12 3 2 26 0 0 15 1 13 4 5 21 6 22 20
30,1.248378730732765,0,0.0,30,............ 2 0 18 6 16 19 17 10 15 7 11 25 15 16 10 2 24 5 6 2 12 10 4 13 4 4 15 15 10 2 3 4 3 9 15 18 8 22 9 7 6 4 11 25 6 2 15 2 28 27 25 19 9 15 4 18 9 25 2 22 29 2 20 2 2 7 15 18 6 18 0 20 18 22 9 7 22 8 7 9 9 28 10 2 7 12 3 2 26 0 0 15 1 13 29 5 21 6 22 20
31,1.222509287078104,0,0.0,31,............ 2 0 18 6 16 19 17 10 30 7 11 25 30 16 10 2 24 5 30 2 12 10 4 13 4 4 15 30 10 2 3 4 3 9 30 18 8 22 9 7 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 7 15 18 30 18 0 20 18 22 9 7 22 8 7 9 9 28 10 2 7 12 3 2 26 0 0 15 1 13 29 5 21 6 22 20
32,1.2075889990499533,0,0.0,32,............ 2 0 18 6 16 19 17 10 30 7 11 25 30 16 10 2 24 5 30 2 12 10 4 13 4 4 15 30 10 2 3 4 3 9 30 18 8 22 9 7 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 31 15 18 30 18 0 20 18 22 9 7 22 8 31 9 9 28 10 2 7 12 3 2 26 0 0 15 1 13 29 5 21 6 22 20
33,1.2079124762711344,0,0.0,33,............ 2 0 18 6 16 19 17 10 30 7 11 25 30 16 10 2 24 5 30 2 32 10 4 13 4 4 15 30 10 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 31 15 18 30 18 0 20 18 22 9 7 22 8 31 9 9 28 10 2 7 32 3 2 26 0 0 15 1 13 29 5 21 6 22 20
34,1.1853358932035745,0,0.0,34,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 16 10 2 24 5 30 2 32 10 4 13 4 4 15 30 10 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 31 15 18 30 18 0 20 18 22 9 7 22 8 31 9 9 28 10 2 7 32 3 2 26 0 0 15 1 13 29 5 21 6 22 20
35,1.1863893410570856,0,0.0,35,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 16 10 2 24 5 30 2 34 10 4 13 4 4 15 30 10 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 21 6 22 20
36,1.1598346621776363,0,0.0,36,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 16 35 2 24 5 30 2 34 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 21 6 22 20
37,1.1987902122996181,0,0.0,37,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 16 35 2 24 5 30 2 34 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
38,1.1782110220837643,0,0.0,38,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 34 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
39,1.1882643627716827,0,0.0,39,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 22 9 31 30 4 11 25 30 2 30 2 28 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
40,1.1842539618873813,0,0.0,40,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 39 9 31 30 4 11 25 30 2 30 2 39 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
41,1.1784458643364313,0,0.0,41,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 9 30 18 8 39 9 40 30 4 11 25 30 2 30 2 39 27 25 19 9 30 4 18 9 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 9 9 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
42,1.1555460836367002,0,0.0,42,............ 2 0 18 33 16 19 17 10 30 7 11 25 30 37 35 2 24 5 30 2 32 10 4 13 4 4 15 30 35 2 3 4 3 41 30 18 8 39 41 40 30 4 11 25 30 2 30 2 39 27 25 19 41 30 4 18 41 25 2 22 29 2 20 2 2 12 15 18 30 18 0 20 18 22 9 7 22 8 12 41 41 28 10 2 7 34 3 2 26 0 0 15 1 13 29 5 36 6 22 20
