NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
31,1.6262103313882879,0,0.0,31,............ 6 5 8 5 19 5 23 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 28 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 14 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 28 15 19 3 5
32,1.6293272312511728,0,0.0,32,............ 6 5 8 5 19 5 27 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 28 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 23 3 1 25 3 12 9 3 19 4 4 9 3 14 0 1 6 10 6 0 28 15 19 3 5
33,1.620292506627844,0,0.0,33,............ 6 5 8 5 19 5 18 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 23 0 1 6 10 6 0 32 15 19 3 5
34,1.6613801490074809,0,0.0,34,............ 6 5 8 5 19 5 31 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
35,1.6744384605395979,0,0.0,35,............ 6 5 8 5 19 5 31 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
36,1.6757464190318816,0,0.0,36,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 27 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
37,1.6818205266388144,0,0.0,37,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 8 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
38,1.685027633742061,0,0.0,38,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 15 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 15 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 15 13 20 19 15 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
39,1.6803316686109127,0,0.0,39,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
40,1.688794882162404,0,0.0,40,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
41,1.8256535435730774,1,0.024390243902439025,40,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
42,1.8623213498726454,1,0.023809523809523808,41,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
43,2.1009836809756446,1,0.023255813953488372,42,............ 6 5 8 5 19 5 28 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
44,2.0802694779880424,1,0.022727272727272728,43,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 32 15 19 3 5
45,1.9678590368981415,1,0.022222222222222223,44,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
46,1.9486775531723293,1,0.021739130434782608,45,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
47,1.9485917085759576,1,0.02127659574468085,46,............ 6 5 8 5 19 5 43 2 21 10 10 19 1 26 1 1 38 0 6 25 15 19 1 17 13 6 19 1 5 0 1 3 9 17 0 9 0 10 13 38 9 0 15 6 10 37 6 3 1 32 13 6 6 4 3 4 10 1 2 17 10 6 19 13 0 0 2 38 13 20 19 38 6 12 1 18 3 1 25 3 12 9 3 19 4 4 9 3 27 0 1 6 10 6 0 33 15 19 3 5
