NumberOfGroups, Error, EmptyGroups, EmptyPercentage, NonEmptyGroups, group
26,0.8618220781686632,0,0.0,26,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
27,0.8618220781686632,0,0.0,27,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
28,0.8618220781686632,0,0.0,28,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
29,0.8618220781686632,0,0.0,29,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
30,0.8618220781686632,0,0.0,30,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
31,0.8618220781686632,0,0.0,31,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
32,0.8618220781686632,0,0.0,32,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
33,0.8618220781686632,0,0.0,33,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
34,0.8618220781686632,0,0.0,34,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
35,0.8618220781686632,0,0.0,35,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
36,0.8618220781686632,0,0.0,36,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
37,0.8618220781686632,0,0.0,37,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
38,0.8618220781686632,0,0.0,38,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
39,0.8618220781686632,0,0.0,39,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
40,0.8618220781686632,0,0.0,40,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
41,0.8618220781686632,0,0.0,41,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
42,0.8618220781686632,0,0.0,42,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
43,0.8618220781686632,0,0.0,43,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
44,0.8618220781686632,0,0.0,44,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
45,0.8618220781686632,0,0.0,45,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
46,0.8618220781686632,0,0.0,46,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
47,0.8618220781686632,0,0.0,47,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
48,0.8618220781686632,0,0.0,48,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
49,0.8618220781686632,0,0.0,49,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
50,0.8618220781686632,0,0.0,50,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
51,0.8618220781686632,0,0.0,51,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
52,0.8618220781686632,0,0.0,52,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
53,0.8618220781686632,0,0.0,53,............ 1 4 2 1 1 1 2 3 1 5 3 1 2 4 2 1 0 1 2 1 3 0 0 2 1 3 1 3 1 2 1 3 2 1 0 2 3 1 1 2 7 1 0 3 3 1 1 1 1 6 1 1 2 2 3 2 1 1 1 0 3 1 1 1 1 1 3 2 1 3 1 1 1 4 1 0 1 1 3 6 0 3 1 3 3 3 2 1 3 1 4 1 3 3 0 0 0 1 3 3
